open,high,low,close,volume,Name,EMA14,EMA20,EMA50,EMA100,EMA200,cross,cross_14,cross_20,cross_50,cross_100,cross_200,prev_cross,prev_cross_14,prev_cross_20,prev_cross_50,prev_cross_100,prev_cross_200
73.25,74.09,73.001,73.64,3125448,ACN,76.4224848151936,77.40535151559541,78.6235665284002,77.8981561916567,76.48417326908299,0,0,0,0,0,0,0,0,0,0,0,0
74.01,74.86,73.76,74.47,4585314,ACN,76.16215350650111,77.12579422839585,78.46068156650216,77.83027191063378,76.46413174401748,0,0,0,0,0,0,0,0,0,0,0,0
74.86,74.98,73.84,74.1,4339977,ACN,75.8871997056343,76.837623349501,78.28967444624718,77.75640514012619,76.44060804507204,0,0,0,0,0,0,0,0,0,0,0,0
74.22,74.5,73.73,74.35,3547180,ACN,75.68223974488306,76.60070684002471,78.13517740913944,77.68895157299498,76.41980597497182,0,0,0,0,0,0,0,0,0,0,0,0
75.0,75.58,74.89,75.2,4099120,ACN,75.61794111223199,76.4673061885938,78.0200724127026,77.6396654032327,76.40766860208655,0,0,0,0,0,0,0,0,0,0,0,0
75.5,75.74,74.96,75.52,3509692,ACN,75.60488229726772,76.37708655158487,77.9220303573025,77.59769183089145,76.39883607868269,0,0,0,0,0,0,0,0,0,0,0,0
75.81,76.29,75.35,76.25,2247474,ACN,75.69089799096537,76.36498307048154,77.85646053936907,77.5710048639431,76.3973551226759,1,1,0,0,0,0,0,0,0,0,0,0
75.98,76.62,74.68,75.29,3676703,ACN,75.63744492550333,76.26260373043569,77.75581502802126,77.52583645079571,76.3863366637438,-1,-1,0,0,0,0,1,1,0,0,0,0
75.76,75.77,74.97,75.16,3336475,ACN,75.57378560210289,76.15759385134658,77.65401836025573,77.4789882042453,76.37413430888068,0,0,0,0,0,0,-1,-1,0,0,0,0
75.05,75.98,75.01,75.44,2646943,ACN,75.5559475218225,76.08925157978976,77.56719411083394,77.43861220020084,76.36483944013561,0,0,0,0,0,0,0,0,0,0,0,0
75.56,75.56,74.54,75.22,4107795,ACN,75.51115451891283,76.00646571504788,77.4751472829581,77.39467928534538,76.35344800292033,0,0,0,0,0,0,0,0,0,0,0,0
75.83,75.895,74.88,75.0,2697565,ACN,75.4430005830578,75.91061183742427,77.37808268362642,77.34725989355636,76.33998085861268,0,0,0,0,0,0,0,0,0,0,0,0
75.14,75.19,74.23,74.25,2494974,ACN,75.2839338386501,75.75245832909815,77.25541277446459,77.28592801447604,76.31918502917375,0,0,0,0,0,0,0,0,0,0,0,0
74.59,74.95,73.51,73.72,2318215,ACN,75.0754093268301,75.55889086918404,77.1167691362503,77.21531557854583,76.29332249157004,0,0,0,0,0,0,0,0,0,0,0,0
73.5,73.9802,73.02,73.14,3260980,ACN,74.81735474991942,75.32852031021413,76.96081740541696,77.13461626015878,76.26194614837034,0,0,0,0,0,0,0,0,0,0,0,0
73.14,73.15,72.16,73.12,3393168,ACN,74.59104078326351,75.1181850425747,76.81019711500846,77.05511890847247,76.23068300261541,0,0,0,0,0,0,0,0,0,0,0,0
72.84,72.84,72.15,72.37,3101649,ACN,74.29490201216171,74.85645313375805,76.63607173794932,76.96234427662152,76.19226824637047,0,0,0,0,0,0,0,0,0,0,0,0
